erv.id,clade,superclade
pCi421,phaCinBetalike,Betalike
pCi760,phaCinBetalike,Betalike
pCi170,phaCinBetalike,Betalike
pCi494,phaCinBetalike,Betalike
pCi321,phaCinBetalike,Betalike
pCi521,phaCinBetalike,Betalike
pCi387,phaCinBetalike,Betalike
pCi449,phaCinBetalike,Betalike
pCi147,phaCinBetalike,Betalike
pCi471,phaCinBetalike,Betalike
pCi844,phaCinBetalike,Betalike
pCi34,phaCinBetalike,Betalike
pCi319,phaCinBetalike,Betalike
pCi320,phaCinBetalike,Betalike
pCi301,phaCinBetalike,Betalike
pCi491,phaCinBetalike,Betalike
pCi467,phaCinBetalike,Betalike
pCi571,phaCinBetalike,Betalike
pCi753,phaCinBetalike,Betalike
pCi577,phaCinBetalike,Betalike
pCi667,phaCinBetalike,Betalike
pCi797,phaCinBetalike,Betalike
pCi90,phaCinBetalike,Betalike
pCi514,phaCinBetalike,Betalike
pCi15,phaCinBetalike,Betalike
pCi183,Betalike_other,Betalike
pCi541,Betalike_other,Betalike
pCi43,Betalike_other,Betalike
pCi42,Betalike_other,Betalike
pCi809,Betalike_other,Betalike
pCi615,Betalike_other,Betalike
pCi788,Betalike_other,Betalike
pCi405,Betalike_other,Betalike
pCi176,Betalike_other,Betalike
pCi130,Betalike_other,Betalike
pCi894,Betalike_other,Betalike
pCi938,Betalike_other,Betalike
pCi860,Betalike_other,Betalike
pCi693,Betalike_other,Betalike
pCi50,Betalike_other,Betalike
pCi208,Betalike_other,Betalike
pCi704,Betalike_other,Betalike
pCi837,Betalike_other,Betalike
pCi431,Betalike_other,Betalike
pCi84,Betalike_other,Betalike
pCi597,Betalike_other,Betalike
pCi768,Betalike_other,Betalike
pCi57,Betalike_other,Betalike
pCi863,Betalike_other,Betalike
pCi898,Betalike_other,Betalike
pCi731,Betalike_other,Betalike
pCi469,Betalike_other,Betalike
pCi480,Betalike_other,Betalike
pCi630,Betalike_other,Betalike
pCi644,Betalike_other,Betalike
pCi263,Betalike_other,Betalike
pCi254,Betalike_other,Betalike
pCi52,Betalike_other,Betalike
pCi852,Betalike_other,Betalike
pCi453,Betalike_other,Betalike
pCi325,Betalike_other,Betalike
pCi903,Betalike_other,Betalike
pCi108,Betalike_other,Betalike
pCi6,Betalike_other,Betalike
pCi859,Betalike_other,Betalike
pCi652,Betalike_other,Betalike
pCi767,Betalike_other,Betalike
pCi96,Betalike_other,Betalike
pCi937,Betalike_other,Betalike
pCi666,Betalike_other,Betalike
pCi284,Betalike_other,Betalike
pCi279,Betalike_other,Betalike
pCi446,Betalike_other,Betalike
pCi249,Betalike_other,Betalike
pCi838,Betalike_other,Betalike
pCi739,Betalike_other,Betalike
pCi497,Betalike_other,Betalike
pCi47,phaCinBeta,Beta
pCi457,phaCinBeta,Beta
pCi786,phaCinBeta,Beta
pCi303,phaCinBeta,Beta
pCi983,phaCinBeta,Beta
pCi998,phaCinBeta,Beta
pCi921,phaCinBeta,Beta
pCi194,phaCinBeta,Beta
pCi48,phaCinBeta,Beta
pCi414,phaCinBeta,Beta
pCi233,phaCinBeta,Beta
pCi989,phaCinBeta,Beta
pCi366,phaCinBeta,Beta
pCi880,phaCinBeta,Beta
pCi914,phaCinBeta,Beta
pCi71,phaCinBeta,Beta
pCi643,phaCinBeta,Beta
pCi933,phaCinBeta,Beta
pCi237,phaCinBeta,Beta
pCi241,phaCinBeta,Beta
pCi273,phaCinBeta,Beta
pCi1002,phaCinBeta,Beta
pCi419,phaCinBeta,Beta
pCi2,phaCinBeta,Beta
pCi833,phaCinBeta,Beta
pCi270,phaCinBeta,Beta
pCi140,KoRVlike,Gamma
pCi954,KoRVlike,Gamma
pCi525,KoRVlike,Gamma
pCi617,KoRVlike,Gamma
pCi365,KoRVlike,Gamma
pCi138,KoRVlike,Gamma
pCi988,KoRVlike,Gamma
pCi17,KoRVlike,Gamma
pCi404,S71like,Gamma
pCi118,S71like,Gamma
pCi856,S71like,Gamma
pCi355,S71like,Gamma
pCi728,S71like,Gamma
pCi868,PRIMA41like,Gamma
pCi973,PRIMA41like,Gamma
pCi749,PRIMA41like,Gamma
pCi235,PRIMA41like,Gamma
pCi561,PRIMA41like,Gamma
pCi817,PRIMA41like,Gamma
pCi602,PRIMA41like,Gamma
pCi709,PRIMA41like,Gamma
pCi486,PRIMA41like,Gamma
pCi848,HERVI_like,Gamma
pCi343,HERVI_like,Gamma
pCi63,HERVI_like,Gamma
pCi533,HERVI_like,Gamma
